State,Market,Variety,Arrivals,Min_Price,Max_price,Modal_price,Date,Grade,Identifier,Market_Key,Market_Identifier
Karnataka,Kolar,Tomato,211,133,533,367,03-01-2014,FAQ,Karnataka_Kolar_Tomato_FAQ,Kar,Karnataka_Kolar_Tomato_FAQ
Karnataka,Kolar,Tomato,284,133,533,347,06-01-2014,FAQ,Karnataka_Kolar_Tomato_FAQ,Kar,Karnataka_Kolar_Tomato_FAQ
Karnataka,Kolar,Tomato,296,147,520,347,04-01-2014,FAQ,Karnataka_Kolar_Tomato_FAQ,Kar,Karnataka_Kolar_Tomato_FAQ
Karnataka,Kolar,Tomato,344,167,546,433,05-01-2014,FAQ,Karnataka_Kolar_Tomato_FAQ,Kar,Karnataka_Kolar_Tomato_FAQ
Karnataka,Kolar,Tomato,23,550,700,600,24-04-2015,FAQ,Karnataka_Kolar_Tomato_FAQ,Kar,Karnataka_Kolar_Tomato_FAQ
Karnataka,Kolar,Tomato,54,200,870,530,24-03-2015,FAQ,Karnataka_Kolar_Tomato_FAQ,Kar,Karnataka_Kolar_Tomato_FAQ
Karnataka,Kolar,Tomato,56,400,933,500,15-04-2015,FAQ,Karnataka_Kolar_Tomato_FAQ,Kar,Karnataka_Kolar_Tomato_FAQ
Karnataka,Kolar,Tomato,75,200,333,266,05-04-2015,FAQ,Karnataka_Kolar_Tomato_FAQ,Kar,Karnataka_Kolar_Tomato_FAQ
Karnataka,Kolar,Tomato,87,300,670,480,22-03-2015,FAQ,Karnataka_Kolar_Tomato_FAQ,Kar,Karnataka_Kolar_Tomato_FAQ
Karnataka,Kolar,Tomato,92,735,2065,1200,05-05-2015,FAQ,Karnataka_Kolar_Tomato_FAQ,Kar,Karnataka_Kolar_Tomato_FAQ
Karnataka,Kolar,Tomato,103,213,346,280,06-04-2015,FAQ,Karnataka_Kolar_Tomato_FAQ,Kar,Karnataka_Kolar_Tomato_FAQ
Karnataka,Kolar,Tomato,103,600,1800,1065,30-04-2015,FAQ,Karnataka_Kolar_Tomato_FAQ,Kar,Karnataka_Kolar_Tomato_FAQ
